,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
274,2012Volkswagen Vento 1.6 Highline,Volkswagen,4.25 Lakh*,2012,Dealer,"90,817 kms",First Owner,Petrol,Manual,Mileage15.04 kmpl,Engine1598 CC,Max Power103.2 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,
275,2011Volkswagen Vento Petrol Trendline,Volkswagen,2.9 Lakh*,2011,Individual,"1,20,000 kms",Second Owner,Petrol,Manual,Mileage15.04 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,
276,2015Volkswagen Polo 1.5 TDI Highline,Volkswagen,4.2 Lakh*,2015,Individual,"90,000 kms",Second Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,
277,2014Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,5.5 Lakh*,2014,Dealer,"78,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,
278,2013Ford EcoSport 1.5 Diesel Trend BSIV,Ford,4.9 Lakh*,2013,Dealer,"81,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size16,Seats5,
279,2014Ford Ecosport 1.5 Diesel Titanium Plus,Ford,6.5 Lakh*,2014,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage21.7 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque215Nm@ 1750-2500rpm,Wheel SizeN/A,Seats5,
280,2013Ford Figo Diesel Titanium,Ford,2.7 Lakh*,2013,Dealer,"71,000 kms",Second Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,
281,2012Ford Figo Diesel ZXI,Ford,2.6 Lakh*,2012,Dealer,"50,000 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Torque160Nm@ 2000rpm,Wheel Size14,Seats5,
282,2017Ford Aspire Trend Plus Diesel,Ford,4.75 Lakh*,2017,Dealer,"68,000 kms",First Owner,Diesel,Manual,Mileage26.1 kmpl,Engine1498 CC,Max Power99.23 bhp,Torque215Nm@ 1750-3000rpm,Wheel Size14,Seats5,
283,2016Ford Figo Aspire 1.2 Ti-VCT Ambiente,Ford,4.35 Lakh*,2016,Dealer,"23,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Torque112Nm@ 4000rpm,Wheel Size14,Seats5,
284,2015Ford Aspire Titanium Diesel BSIV,Ford,6.5 Lakh*,2015,Dealer,"41,785 kms",First Owner,Diesel,Manual,Mileage26.1 kmpl,Engine1498 CC,Max Power99.23 bhp,Torque215Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,
285,2014Ford Ecosport 1.5 Diesel Ambiente,Ford,4.91 Lakh*,2014,Dealer,"55,000 kms",First Owner,Diesel,Manual,Mileage21.7 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque215Nm@ 1750-2500rpm,Wheel SizeR15,Seats5,
286,2016Ford EcoSport 1.5 TDCi Ambiente BSIV,Ford,5.65 Lakh*,2016,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,
287,2015Ford Fiesta 1.5 TDCi Titanium,Ford,5.6 Lakh*,2015,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage25.01 kmpl,Engine1498 CC,Max Power89.75 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,
288,2010Ford Figo Diesel Titanium,Ford,2.1 Lakh*,2010,Dealer,"66,123 kms",Second Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,
289,2013Ford Ecosport 1.5 Petrol Titanium,Ford,4.35 Lakh*,2013,Dealer,"57,000 kms",First Owner,Petrol,Manual,Mileage15.9 kmpl,Engine1496 CC,Max Power120.69 bhp,Torque149Nm@ 4500rpm,Wheel SizeN/A,Seats5,
